Accession,Geo_Location
MT270107,Germany: Bavaria
MT270108,Germany: Bavaria
MT270109,Germany: Bavaria
MT270110,Germany: Bavaria
MT270111,Germany: Bavaria
MT270112,Germany: Bavaria
MT270113,Germany: Bavaria
MT270114,Germany: Bavaria
MT483553,India: Modasa
MT483554,India: Modasa
MT483555,India: Modasa
MT483556,India: Modasa
MT483557,India: Modasa
MT483558,India: Modasa
MT483559,India: Prantij
MT483560,India: Modasa
MT483563,USA: CA
MT483564,USA: CA
MT483565,USA: CA
MT483702,India: Modasa
MT477835,USA: AK
MT477836,USA: AK
MT477837,USA: AK
MT477838,USA: AK
MT477839,USA: AK
MT477840,USA: AK
MT477841,USA: AK
MT477842,USA: AK
MT477843,USA: AK
MT477844,USA: AK
MT477845,USA: AK
MT477846,USA: AK
MT477847,USA: AK
MT477848,USA: AK
MT477849,USA: AK
MT477850,USA: AK
MT477851,USA: AK
MT477852,USA: AK
MT477853,USA: AK
MT477854,USA: AK
MT477855,USA: AK
MT477856,USA: AK
MT477857,USA: AK
MT477858,USA: AK
MT477859,USA: AK
MT477860,USA: AK
MT477861,USA: AK
MT477862,USA: AK
MT477885,India
MT477903,USA: FL
MT477904,USA: FL
MT481927,USA: CA
MT481928,USA: CA
MT481929,USA: CA
MT481930,USA: CA
MT481931,USA: CA
MT481932,USA: CA
MT481933,USA: CA
MT481934,USA: CA
MT481935,USA: CA
MT481936,USA: CA
MT481992,USA
MT482110,USA: VA
MT482111,USA: VA
MT482112,USA: VA
MT482113,USA: VA
MT482114,USA: VA
MT482115,USA: VA
MT482116,USA: VA
MT482117,USA: VA
MT482118,USA: VA
MT482119,USA: VA
MT482120,USA: VA
MT482121,USA: VA
MT482122,USA: VA
MT482123,USA: VA
MT482124,USA: VA
MT482125,USA: VA
MT482126,USA: VA
MT482127,USA: VA
MT482128,USA: VA
MT482129,USA: VA
MT482130,USA: VA
MT482131,USA: VA
MT482132,USA: VA
MT482133,USA: VA
MT482134,USA: VA
MT482135,USA: VA
MT482136,USA: VA
MT482137,USA: VA
MT482138,USA: VA
MT482139,USA: VA
MT482140,USA: VA
MT482141,USA: VA
MT482142,USA: VA
MT482143,USA: VA
